created_at,text
Mon Oct 26 01:31:40 +0000 2020,"RT @TutuBarao2106: Mais um vídeo mostrando a arrogância, mesquinharia e falta de respeito ao próximo, desse lixo que enganou todo mundo e q…"
Mon Oct 26 01:31:40 +0000 2020,"Ataque Aberto: A VACINA CHINESA OBRIGATÓRIA - UMA QUESTÃO ""SUI GE... https://t.co/zWm5iiWQMx"
Mon Oct 26 01:31:41 +0000 2020,RT @alanaddsousa: quando a vacina sair
Mon Oct 26 01:31:41 +0000 2020,"RT @oatila: Temos 6 meses de adianto pra saber que o inverno que vem vai ser complicado. No começo do ano, desperdiçamos 3 meses de aviso.…"
Mon Oct 26 01:31:41 +0000 2020,@Collor A vacina chegou aí? Estão sem máscara! 😡 🤬
Mon Oct 26 01:31:41 +0000 2020,eu achando que eu tava na minha conta pessoal
Mon Oct 26 01:31:42 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:44 +0000 2020,"RT @liberdademedico: Datena tá muito longe de ser um jornalista que eu gosto, mas fez o papel sério de questionar a obrigatoriedade e a efi…"
Mon Oct 26 01:31:44 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:31:45 +0000 2020,"RT @liberdademedico: Aos colegas médicos que estão apoiando o Governador João Doria:
PEDIMOS QUE SE RETIREM IMEDIATAMENTE desse governo, um…"
Mon Oct 26 01:31:45 +0000 2020,RT @IsoldaBolsonaro: ATENÇÃO BRASIL PARA A FARSA COVID VACINA. ISSO É GRAVE. https://t.co/XBCuq1hlDE
Mon Oct 26 01:31:48 +0000 2020,RT @NathanFarinha: PAU NO SEU CUKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK https://t.co/5GdyzPOXZ7 https://t.c…
Mon Oct 26 01:31:52 +0000 2020,"@SenadorKajuru Se quiser, pode ser o primeiro a experimentar a vacina ""mais segura"", que só existe toda essa propag… https://t.co/lgIp8lMrRo"
Mon Oct 26 01:31:52 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:53 +0000 2020,"RT @RogerioCorreia_: Lido na internet, perfeito:

Bolsonaro tem menos amor pelos bolsominions que um pecuarista tem pelo seu gado. O pecuar…"
Mon Oct 26 01:31:54 +0000 2020,"Vai entrar com processo na OMS, acredito que não seja blefe"
Mon Oct 26 01:31:54 +0000 2020,"RT @zazamir: SE A CHINA COMPRA VACINA DA SUÉCIA PARA VACINAR SEU POVO....
POR QUE NÓS TEMOS QUE USAR A REJEITADA POR ELES MESMOS?

BOA PERG…"
Mon Oct 26 01:31:55 +0000 2020,"RT @bernardokuster2: Meu palpite é de que o STF, provocado pelo PDT e REDE, não irá obrigar ninguém a tomar vacina, mas dirá que compete ao…"
Mon Oct 26 01:31:55 +0000 2020,"@assantos0 N me dói nenhuma, mas o braço fica pisado no dia a seguir com a vacina"
Mon Oct 26 01:31:55 +0000 2020,@jeonsliar era vacina d que
Mon Oct 26 01:31:56 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:56 +0000 2020,"Praticamente só o Brasil discute a obrigatoriedade da vacina https://t.co/kZBgTeNjLB 

DÓRIA TEM QUE SER PRESO URGE… https://t.co/g4d7RUwUSY"
Mon Oct 26 01:31:57 +0000 2020,"RT @pensadorpensa: Para quê, a vachina já que é um vírus político?"
Mon Oct 26 01:31:57 +0000 2020,RT @BlitzSpitfire: Tomou a vacina chinesa? https://t.co/yx0m2IH5ns
Mon Oct 26 01:31:57 +0000 2020,@ggukhello vacina
Mon Oct 26 01:31:57 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:31:58 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:58 +0000 2020,RT @jose_simao: Bolsonaro faz post com cão:”vacina obrigatória só no Faísca”. No caso dele morder o cachorro!
